,Company,TypeName,Ram,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
40,Asus,Notebook,4,Other,2.0,248.71104,0,0,141.21199808219862,Intel Core i3,1000,0,Intel
41,Dell,Gaming,16,Windows,2.65,958.40064,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
42,Asus,Notebook,8,Other,2.3,334.3788864,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia
43,Acer,Notebook,4,Windows,2.2,436.04352,0,1,141.21199808219862,Intel Core i5,0,256,Intel
44,Dell,2 in 1 Convertible,12,Windows,2.77,638.72064,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia
45,Apple,Ultrabook,8,Mac,1.37,907.25184,0,1,226.98300468106115,Intel Core i5,0,256,Intel
46,Lenovo,Notebook,4,Other,2.2,235.92384,0,0,100.45466986113651,Intel Core i3,0,128,Intel
47,Asus,Gaming,8,Windows,3.2,830.52864,0,0,127.33567457123111,AMD Processor,1000,256,AMD
48,Dell,Notebook,4,Windows,2.3,408.55104,0,0,141.21199808219862,Intel Core i5,0,256,AMD
49,Asus,Notebook,4,Windows,2.8,297.94176,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia
50,Lenovo,2 in 1 Convertible,4,Other,0.69,203.95584,1,1,224.17380907857276,Other Intel Processor,0,0,Intel
51,Acer,Notebook,8,Windows,2.2,537.70176,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
52,HP,Notebook,4,Windows,1.86,254.7785664,0,0,141.21199808219862,AMD Processor,0,256,AMD
53,HP,Notebook,8,Windows,1.49,705.21408,0,0,165.6321180513006,Intel Core i7,0,512,Intel
54,Acer,Notebook,4,Windows,2.4,245.51424,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
55,Dell,Notebook,8,Windows,2.13,490.900608,0,0,141.21199808219862,Intel Core i7,0,256,AMD
56,HP,Notebook,4,Windows,1.91,280.67904,0,0,141.21199808219862,Intel Core i3,0,128,Intel
57,Asus,Notebook,4,Windows,2.0,374.78643840000007,0,0,100.45466986113651,Intel Core i5,0,256,Intel
58,MSI,Gaming,16,Windows,2.43,1565.79264,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia
59,Asus,Notebook,4,Other,2.0,265.3344,0,0,141.21199808219862,Intel Core i3,0,256,Intel
60,Dell,Notebook,16,Windows,2.8,830.52864,0,0,127.33567457123111,Intel Core i7,2000,256,AMD
61,Dell,Ultrabook,8,Windows,1.7,561.9974400000001,0,0,157.3505121487356,Intel Core i5,0,256,Intel
62,Lenovo,Notebook,8,Other,1.7,382.97664,0,1,157.3505121487356,Intel Core i3,0,256,Intel
63,Asus,Notebook,8,Windows,1.4,601.6377600000001,0,0,157.3505121487356,Intel Core i5,0,256,Intel
64,HP,Notebook,8,Windows,1.86,441.1584,0,0,141.21199808219862,Intel Core i5,0,256,Intel
65,Asus,Ultrabook,16,Windows,1.8,1267.8508800000002,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
66,HP,Notebook,4,Windows,1.86,280.48083840000004,0,0,100.45466986113651,Intel Core i3,500,0,AMD
67,HP,Notebook,4,Windows,1.44,146.41344,0,0,111.93520355955211,Other Intel Processor,0,32,Intel
68,Lenovo,Notebook,4,Windows,1.9,351.00864,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
69,Asus,Gaming,12,Other,3.0,606.75264,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia
70,Microsoft,Ultrabook,4,Windows,1.252,696.26304,1,0,200.84255993695703,Intel Core i5,0,128,Intel
71,Dell,Ultrabook,8,Windows,1.4,610.5888,0,1,165.6321180513006,Intel Core i7,0,256,AMD
72,Dell,Notebook,8,Windows,2.2,556.2432,0,0,141.21199808219862,Intel Core i7,0,256,AMD
73,MSI,Gaming,8,Windows,2.7,700.0992,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia
74,Acer,Notebook,8,Windows,2.1,248.71104,0,0,111.93520355955211,Intel Core i3,1000,0,Intel
75,Asus,Gaming,8,Windows,2.2,606.75264,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
76,Lenovo,Notebook,8,Other,2.2,331.82784,0,0,141.21199808219862,Intel Core i5,2000,0,Intel
77,Dell,Notebook,8,Windows,2.02,546.6528000000001,0,0,141.21199808219862,Intel Core i7,1000,128,Intel
78,Acer,Notebook,4,Windows,2.2,338.86080000000004,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia
79,HP,Notebook,8,Windows,2.5,624.65472,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia
80,Dell,Ultrabook,8,Windows,1.88,700.8408575999999,0,1,141.21199808219862,Intel Core i5,0,256,Intel
81,Apple,Ultrabook,8,Mac,0.92,965.4336,0,1,226.41554716935852,Intel Core i5,0,512,Intel
82,HP,Notebook,8,Windows,1.63,549.8496,0,0,157.3505121487356,Intel Core i5,0,256,Intel
83,Lenovo,Notebook,4,Windows,2.2,255.10464,0,0,141.21199808219862,AMD Processor,0,128,AMD
84,Acer,Notebook,4,Windows,2.1,252.5472,0,0,100.45466986113651,AMD Processor,1000,0,AMD
85,Dell,Gaming,16,Windows,2.65,862.4966400000001,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
86,HP,Ultrabook,8,Windows,1.83,446.91264,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
87,HP,Notebook,8,Windows,1.96,382.9702464,0,0,141.21199808219862,Intel Core i5,0,256,Intel
88,Asus,Gaming,16,Windows,2.2,926.43264,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
89,Dell,Ultrabook,8,Windows,1.21,1054.30464,0,1,165.6321180513006,Intel Core i7,0,256,Intel
90,Asus,Gaming,8,Windows,2.45,446.91264,0,0,141.21199808219862,AMD Processor,1000,0,AMD
91,Acer,Notebook,8,Windows,2.2,440.51904,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
92,HP,Notebook,16,Windows,1.49,765.31392,0,0,165.6321180513006,Intel Core i7,0,512,Intel
93,Dell,Gaming,8,Windows,2.65,764.0352,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
94,Asus,Ultrabook,8,Windows,1.25,670.6886400000001,0,0,157.3505121487356,Intel Core i7,0,256,Intel
95,Acer,2 in 1 Convertible,8,Windows,1.5,541.5379200000001,1,1,165.6321180513006,Intel Core i5,0,256,Intel
96,Dell,Notebook,8,Other,2.2,383.552064,0,0,141.21199808219862,Intel Core i7,1000,0,AMD
97,Dell,Notebook,4,Other,2.2,310.0896,0,0,141.21199808219862,Intel Core i3,0,256,AMD
98,Asus,Notebook,6,Windows,2.0,368.91072,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia
99,HP,Gaming,12,Windows,2.62,798.56064,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
100,HP,Notebook,8,Windows,1.91,459.69984,0,0,141.21199808219862,Intel Core i7,0,256,AMD
101,HP,Notebook,4,Windows,2.1,223.13664000000003,0,0,141.21199808219862,AMD Processor,500,0,AMD
102,Dell,Notebook,8,Other,2.2,413.66592,0,0,141.21199808219862,Intel Core i5,1000,0,AMD
103,HP,Ultrabook,8,Windows,1.38,715.44384,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia
104,Microsoft,Ultrabook,8,Windows,1.252,856.7424,1,0,200.84255993695703,Intel Core i5,0,256,Intel
105,HP,Notebook,6,Windows,1.58,421.33824,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia
106,Lenovo,Notebook,4,Windows,1.85,265.270464,0,0,141.21199808219862,Intel Core i3,1000,0,Intel
107,Asus,Ultrabook,8,Windows,1.3,762.75648,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia
108,MSI,Gaming,16,Windows,2.2,830.52864,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
109,Lenovo,Notebook,8,Windows,1.58,946.2528,0,1,157.3505121487356,Intel Core i7,0,256,Intel
110,Asus,Ultrabook,16,Windows,1.5,806.8723200000001,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
111,Dell,Ultrabook,8,Windows,1.23,881.6774399999999,1,0,276.053530085501,Intel Core i7,0,256,Intel
112,Lenovo,2 in 1 Convertible,8,Windows,1.37,894.46464,1,1,165.6321180513006,Intel Core i5,0,256,Intel
113,HP,Notebook,4,Windows,1.63,461.61792,0,1,111.93520355955211,Intel Core i5,500,0,Intel
114,Dell,Ultrabook,8,Windows,1.21,1041.51744,0,1,165.6321180513006,Intel Core i5,0,256,Intel
115,HP,2 in 1 Convertible,8,Windows,1.26,894.4582464,1,1,165.6321180513006,Intel Core i5,0,256,Intel
116,HP,Notebook,8,Windows,1.63,693.06624,0,0,157.3505121487356,Intel Core i7,0,512,Intel
117,Dell,Notebook,8,Windows,2.16,722.6877887999999,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
118,Asus,Notebook,4,Windows,2.0,360.59904,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia
119,Asus,Notebook,8,Windows,1.7,714.80448,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia
120,Acer,Notebook,6,Windows,2.1,306.25344,1,1,141.21199808219862,Intel Core i3,1000,0,Intel
121,MSI,Gaming,16,Windows,1.8,1433.12544,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia
122,Lenovo,Notebook,8,Other,2.2,402.15744,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
123,HP,Notebook,16,Windows,2.5,812.62656,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia
124,Acer,Notebook,4,Windows,2.1,288.35136,0,0,100.45466986113651,AMD Processor,0,256,AMD
125,HP,Notebook,4,Other,1.86,165.59424,0,0,100.45466986113651,Other Intel Processor,500,0,Intel
126,HP,Notebook,8,Windows,1.63,519.1603200000001,0,0,157.3505121487356,Intel Core i5,1000,0,Intel
127,Asus,Notebook,4,Windows,1.65,177.7356864,0,0,111.93520355955211,AMD Processor,0,64,AMD
128,Dell,Notebook,16,Windows,2.8,892.5465599999999,0,0,127.33567457123111,Intel Core i7,2000,256,AMD
129,HP,Notebook,8,Windows,2.5,593.3260799999999,0,0,127.33567457123111,Intel Core i5,0,256,Intel
130,Dell,Notebook,8,Windows,2.36,408.5446464,0,0,100.45466986113651,Intel Core i5,1000,0,AMD
131,Dell,Notebook,4,Windows,2.2,287.07264000000004,0,0,141.21199808219862,Intel Core i3,1000,0,AMD
132,Acer,Ultrabook,8,Windows,1.6,565.1942399999999,0,1,157.3505121487356,Intel Core i7,0,256,Intel
133,Acer,Notebook,4,Windows,2.2,365.71392,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia
134,HP,Notebook,8,Windows,2.05,382.33728,0,0,100.45466986113651,Intel Core i7,1000,0,Intel
135,HP,Notebook,8,Windows,1.63,631.68768,0,0,157.3505121487356,Intel Core i7,0,256,Intel
136,Lenovo,Notebook,4,Other,1.9,161.3488896,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel
137,Asus,Gaming,8,Windows,3.0,599.71968,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia
138,Lenovo,Notebook,4,Other,2.2,319.04064,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia
139,HP,Notebook,4,Windows,1.32,446.91264,0,1,165.6321180513006,Intel Core i5,0,256,Intel
140,Acer,Notebook,4,Windows,3.0,418.7808,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia
141,Lenovo,Notebook,8,Windows,1.75,713.5385472,0,1,157.3505121487356,Intel Core i5,0,256,AMD
142,Lenovo,Gaming,8,Other,2.4,555.60384,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
143,Toshiba,Notebook,4,Windows,2.1,384.89472,0,0,100.45466986113651,Intel Core i5,500,0,Intel
144,HP,Notebook,4,Windows,1.86,235.92384,0,0,100.45466986113651,AMD Processor,0,256,AMD
145,Asus,Ultrabook,8,Windows,1.25,702.65664,0,0,157.3505121487356,Intel Core i7,0,256,Intel
146,HP,Ultrabook,8,Windows,0.97,1287.67104,1,1,352.4651472131677,Other Intel Processor,0,512,Intel
147,Asus,Notebook,4,Windows,2.0,219.93984,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel
148,MSI,Gaming,16,Windows,2.9,1297.26144,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
149,Acer,Notebook,4,Windows,2.1,285.79392,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
150,Dell,Gaming,16,Windows,2.56,798.7268736,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
151,Dell,Gaming,8,Windows,2.62,574.7846400000001,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia
152,Lenovo,Notebook,4,Windows,1.9,318.40128,0,0,100.45466986113651,Intel Core i5,0,128,Intel
153,MSI,Gaming,16,Windows,2.8,1208.3904,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
154,HP,Ultrabook,4,Windows,1.48,691.78752,0,0,157.3505121487356,Intel Core i5,0,256,Intel
155,HP,Notebook,6,Windows,1.91,395.76384,0,0,141.21199808219862,Intel Core i5,0,256,AMD
156,Lenovo,2 in 1 Convertible,4,Windows,1.74,402.15744,1,1,157.3505121487356,Intel Core i3,0,256,Intel
157,Asus,2 in 1 Convertible,8,Windows,1.1,840.7583999999999,1,0,165.6321180513006,Intel Core i5,0,256,Intel
158,Dell,2 in 1 Convertible,8,Windows,1.56,670.6886400000001,1,0,141.21199808219862,Intel Core i7,0,256,Intel
159,Toshiba,Notebook,4,Windows,2.1,285.79392,0,0,100.45466986113651,Intel Core i3,500,0,Intel
160,Asus,Notebook,4,Windows,2.03,257.66208,0,0,100.45466986113651,AMD Processor,1000,0,AMD
161,Acer,Notebook,4,Windows,3.0,514.6848,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia
162,Dell,Notebook,8,Windows,2.13,465.45408,0,0,141.21199808219862,Intel Core i5,0,256,AMD
163,Lenovo,Gaming,16,Windows,2.5,689.86944,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
164,Acer,Notebook,4,Windows,2.1,222.49728,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel
165,MSI,Gaming,16,Windows,2.4,1150.20864,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
166,Acer,Notebook,4,Windows,2.1,232.4137536,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel
167,Dell,Gaming,8,Windows,2.56,678.0348864,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia
168,Acer,Notebook,8,Windows,3.0,546.0134400000001,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia
169,HP,Notebook,4,Windows,1.49,482.07744,0,1,165.6321180513006,Intel Core i5,500,0,Intel
170,Huawei,Ultrabook,8,Windows,1.05,862.4966400000001,0,1,199.69207064108247,Intel Core i5,0,256,Intel
171,HP,Notebook,6,Windows,2.71,446.91264,0,1,127.33567457123111,Intel Core i5,2000,0,AMD
172,Lenovo,Notebook,4,Other,2.2,197.56224,0,0,100.45466986113651,AMD Processor,500,0,AMD
173,Toshiba,Notebook,4,Windows,2.0,312.64704,0,0,100.45466986113651,Intel Core i3,500,0,Intel
174,HP,Notebook,8,Windows,2.5,590.12928,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia
175,Dell,Notebook,8,Windows,2.3,293.46624,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
176,Acer,Notebook,4,Windows,2.1,287.07264000000004,0,0,100.45466986113651,Intel Core i3,0,128,Intel
177,MSI,Gaming,32,Windows,4.4,1789.56864,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia
178,Lenovo,Notebook,8,Windows,1.9,519.79968,0,0,141.21199808219862,Intel Core i5,1000,128,AMD
179,HP,2 in 1 Convertible,8,Windows,1.29,958.40064,1,1,331.2642361026012,Intel Core i5,0,256,Intel
180,Dell,Notebook,16,Other,2.02,670.6886400000001,0,0,141.21199808219862,Intel Core i7,2000,256,AMD
181,Dell,Ultrabook,8,Windows,1.23,894.46464,0,0,165.6321180513006,Intel Core i5,0,256,Intel
182,Lenovo,2 in 1 Convertible,16,Windows,1.4,1182.17664,1,1,316.96506044349616,Intel Core i7,0,512,Intel
183,Toshiba,Notebook,8,Windows,2.0,507.01248,0,0,100.45466986113651,Intel Core i5,0,128,Intel
184,Xiaomi,Notebook,8,Other,1.95,766.5926400000001,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
185,Dell,Notebook,16,Windows,2.77,990.36864,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia
186,Dell,Notebook,16,Windows,2.06,1532.54592,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia
187,Lenovo,Gaming,8,Other,2.4,498.06144000000006,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
188,Acer,Ultrabook,8,Windows,1.12,632.32704,0,1,165.6321180513006,Intel Core i5,0,256,Intel
189,Dell,Notebook,8,Windows,2.8,693.7056,0,0,127.33567457123111,Intel Core i7,1000,128,AMD
190,Lenovo,2 in 1 Convertible,16,Windows,1.42,1805.55264,1,0,209.8006828649808,Intel Core i7,0,1000,Intel
191,Vero,Notebook,4,Windows,1.3,166.2336,0,1,157.3505121487356,Other Intel Processor,0,0,Intel
192,Xiaomi,Ultrabook,8,Other,1.3,639.2960639999999,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia
193,Lenovo,Notebook,8,Other,2.8,446.27328000000006,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia
194,Dell,2 in 1 Convertible,8,Windows,1.62,536.42304,1,1,165.6321180513006,Intel Core i7,1000,0,Intel
195,HP,Notebook,8,Windows,2.5,584.37504,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia
196,Razer,Gaming,32,Windows,3.49,3899.45664,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia
197,HP,Notebook,8,Windows,1.49,613.1462399999999,0,0,165.6321180513006,Intel Core i5,0,512,Intel
198,HP,Gaming,16,Windows,3.35,881.6774399999999,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia
199,HP,Notebook,8,Windows,2.5,668.1312,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia
200,Dell,Gaming,16,Windows,2.65,1179.6192,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia
201,Lenovo,Notebook,4,Windows,2.1,315.20448,0,0,100.45466986113651,Intel Core i5,0,128,Intel
202,Acer,Notebook,8,Windows,2.23,474.40512,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
203,Lenovo,Gaming,16,Windows,3.2,1118.24064,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia
204,Dell,Workstation,16,Windows,2.8,1953.2448,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia
205,Lenovo,Gaming,16,Other,2.4,893.82528,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
206,Dell,Notebook,6,Windows,2.3,280.67904,1,0,100.45466986113651,Intel Core i3,1000,0,Intel
207,Dell,Ultrabook,8,Windows,1.21,1246.11264,1,1,331.2642361026012,Intel Core i7,0,256,Intel
208,Dell,Ultrabook,8,Windows,1.2,926.43264,0,0,165.6321180513006,Intel Core i7,0,256,Intel
209,Lenovo,Notebook,8,Windows,2.2,381.69792,0,0,100.45466986113651,Intel Core i5,0,256,Intel
210,Acer,Notebook,8,Other,2.4,498.06144000000006,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia
211,Asus,Gaming,16,Windows,2.9,899.5795199999999,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia
212,HP,Notebook,4,Other,2.1,223.13664000000003,0,0,141.21199808219862,Intel Core i3,500,0,Intel
213,Lenovo,Notebook,8,Other,2.2,351.00864,0,0,141.21199808219862,Intel Core i5,0,256,Intel
214,Huawei,Ultrabook,8,Windows,1.05,958.40064,0,1,199.69207064108247,Intel Core i7,0,512,Intel
215,Dell,Ultrabook,8,Windows,1.4,595.8067968,0,1,165.6321180513006,Intel Core i7,0,256,AMD
216,Lenovo,Notebook,8,Other,2.8,376.58304,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia
217,HP,Notebook,8,Windows,1.63,659.18016,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia
218,Dell,Ultrabook,8,Windows,1.6,734.62464,0,0,157.3505121487356,Intel Core i5,0,256,Intel
219,Dell,2 in 1 Convertible,16,Windows,1.62,817.74144,1,0,165.6321180513006,Intel Core i7,0,512,Intel
220,Dell,Notebook,8,Other,2.2,433.070496,0,0,141.21199808219862,Intel Core i5,0,256,AMD
221,Lenovo,2 in 1 Convertible,8,Windows,1.74,574.7846400000001,0,1,157.3505121487356,Intel Core i5,0,256,Intel
222,Toshiba,Ultrabook,8,Windows,1.2,871.44768,0,0,165.6321180513006,Intel Core i7,0,256,Intel
223,HP,Notebook,8,Windows,2.1,507.65184,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
224,Dell,Gaming,16,Windows,4.42,1570.4855424,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia
225,Acer,Notebook,8,Windows,2.2,531.94752,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia
226,Dell,Notebook,16,Windows,2.3,549.2166336,1,0,141.21199808219862,Intel Core i7,1000,0,AMD
227,Asus,Notebook,8,Windows,2.0,491.66784,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
228,Asus,Notebook,8,Windows,2.69,569.66976,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia
229,HP,Notebook,8,Windows,1.9,811.3478399999999,0,0,141.21199808219862,Intel Core i7,1000,0,AMD
230,Asus,Notebook,4,Windows,2.37,255.0982464,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
231,HP,Notebook,4,Windows,2.1,210.9888,0,0,100.45466986113651,AMD Processor,500,0,AMD
232,Lenovo,Gaming,16,Windows,3.2,958.40064,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia
233,Dell,Notebook,8,Windows,1.6,549.21024,0,0,157.3505121487356,Intel Core i5,0,256,Intel
234,Acer,2 in 1 Convertible,8,Windows,1.6,440.51904,1,1,165.6321180513006,Intel Core i5,0,256,Intel
235,Dell,Notebook,16,Other,2.36,574.7846400000001,0,0,141.21199808219862,Intel Core i7,0,256,AMD
236,Acer,Notebook,4,Other,2.1,249.3504,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
237,Asus,Notebook,4,Windows,2.2,367.632,0,0,141.21199808219862,AMD Processor,1000,128,AMD
238,Asus,Gaming,32,Windows,4.7,2487.1104,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia
239,Acer,Gaming,8,Windows,2.5,540.89856,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia
240,Lenovo,Notebook,8,Windows,2.2,376.58304,0,0,100.45466986113651,Intel Core i3,0,128,Intel
241,Asus,Notebook,8,Windows,2.1,732.0672,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia
242,Asus,Notebook,8,Other,2.69,568.39104,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia
243,Dell,Gaming,8,Windows,2.56,561.9974400000001,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
244,Lenovo,2 in 1 Convertible,8,Windows,1.38,689.86944,1,1,158.48253022174808,Intel Core i7,0,256,Intel
